  5     0.635891606387072E-05
  6     0.299086144952613E-05
  7     0.110389233505123E-05
  8     0.205715382683018E-05
  9     0.148851297142891E-05
 10     0.106656440367033E-05
 11     0.120350406108553E-05
 12     0.112500242575891E-05
 13     0.100071077185824E-05
 14     0.109140202545890E-05
 15     0.722926324695944E-06
 16     0.160458339393178E-05
 17     0.641768653720906E-06
 18     0.745121495173594E-06
 19     0.199157265796821E-05
 20     0.829416289269413E-06
 21     0.792084569051394E-06
 22     0.227857769825088E-05
 23     0.772097698983677E-06
 24     0.785276698959269E-06
 25     0.145109505332151E-05
 26     0.824889511494834E-06
 27     0.872858169084435E-06
 28     0.831168540445433E-06
